,Name,Database_ID
151,GNPNAT1,ENSP00000216410
152,ATP6V1D,ENSP00000216442
153,PSMA3,ENSP00000216455
154,AHSA1,ENSP00000216479
155,SPTLC2,ENSP00000216484
156,CHGA,ENSP00000216492
157,DHRS7,ENSP00000216500
158,EIF5,ENSP00000216554
159,VRK1,ENSP00000216639
160,APEX1,ENSP00000216714
161,SRP54,ENSP00000216774
162,PCK2,ENSP00000216780
163,PSME2,ENSP00000216802
164,PNN,ENSP00000216832
165,RABGGTA,ENSP00000216840
166,PTPRA,ENSP00000216877
167,NSFL1C,ENSP00000216879
168,PYGB,ENSP00000216962
169,PROCR,ENSP00000216968
170,CSTF1,ENSP00000217109
171,TPD52L2,ENSP00000217121
172,CTSZ,ENSP00000217131
173,C20orf27,ENSP00000217195
174,CSNK2A1,ENSP00000217244
175,FERMT1,ENSP00000217289
176,CHMP4B,ENSP00000217402
177,LBP,ENSP00000217407
178,AHCY,ENSP00000217426
179,ACOT8,ENSP00000217455
180,APMAP,ENSP00000217456
181,TXNL1,ENSP00000217515
182,IDH3G,ENSP00000217901
183,MXRA5,ENSP00000217939
184,PSMD10,ENSP00000217958
185,PGRMC1,ENSP00000217971
186,WDR13,ENSP00000218056
187,STAG2,ENSP00000218089
188,F9,ENSP00000218099
189,PQBP1,ENSP00000218224
190,RP2,ENSP00000218340
191,HTATSF1,ENSP00000218364
192,TIMP1,ENSP00000218388
193,MAGED2,ENSP00000218439
194,GLA,ENSP00000218516
195,OLFM4,ENSP00000219022
196,MMP2,ENSP00000219070
197,CORO1A,ENSP00000219150
198,NUTF2,ENSP00000219169
199,DHODH,ENSP00000219240
200,POLR2C,ENSP00000219252
201,NME3,ENSP00000219302
202,PSMD7,ENSP00000219313
203,CMC2,ENSP00000219400
204,MPG,ENSP00000219431
205,USP10,ENSP00000219473
206,DECR2,ENSP00000219481
207,STUB1,ENSP00000219548
208,HMOX2,ENSP00000219700
209,CDIPT,ENSP00000219789
210,BCKDK,ENSP00000219794
211,CSK,ENSP00000220003
212,CTSH,ENSP00000220166
213,EHD4,ENSP00000220325
214,DNAJC17,ENSP00000220496
215,VPS18,ENSP00000220509
216,FDFT1,ENSP00000220584
217,AGO2,ENSP00000220592
218,PAG1,ENSP00000220597
219,DECR1,ENSP00000220764
220,GDAP1,ENSP00000220822
221,EIF3E,ENSP00000220849
222,EMC2,ENSP00000220853
223,UBR5,ENSP00000220959
224,DCTN6,ENSP00000221114
225,GSR,ENSP00000221130
226,PPP2CB,ENSP00000221138
227,CNOT3,ENSP00000221232
228,EXOSC5,ENSP00000221233
229,PNPLA6,ENSP00000221249
230,PAF1,ENSP00000221265
231,STXBP2,ENSP00000221283
232,ECH1,ENSP00000221418
233,HNRNPL,ENSP00000221419
234,SARS2,ENSP00000221431
235,FCGRT,ENSP00000221466
236,SF3A2,ENSP00000221494
237,TBC1D17,ENSP00000221543
238,SGTA,ENSP00000221566
239,FBL,ENSP00000221801
240,CLC,ENSP00000221804
241,TBCB,ENSP00000221855
242,DMAC2,ENSP00000221943
243,PLIN3,ENSP00000221957
244,CEACAM5,ENSP00000221992
245,CDC37,ENSP00000222005
246,RAB3D,ENSP00000222120
247,GCDH,ENSP00000222214
248,DNASE2,ENSP00000222219
249,RPL18A,ENSP00000222247
250,FKBP8,ENSP00000222308
251,GSK3A,ENSP00000222330
252,PON1,ENSP00000222381
253,LAMB1,ENSP00000222399
254,GTPBP10,ENSP00000222511
255,NAMPT,ENSP00000222553
256,OGDH,ENSP00000222673
257,CAV2,ENSP00000222693
258,ABHD11,ENSP00000222800
259,PDAP1,ENSP00000222968
260,BUD31,ENSP00000222969
261,SNX8,ENSP00000222990
262,WASL,ENSP00000223023
263,AIMP2,ENSP00000223029
264,PCOLCE,ENSP00000223061
265,RBM28,ENSP00000223073
266,PLOD3,ENSP00000223127
267,RPA3,ENSP00000223129
268,FIS1,ENSP00000223136
269,NRF1,ENSP00000223190
270,RARRES2,ENSP00000223271
271,AEBP1,ENSP00000223357
272,YKT6,ENSP00000223369
273,CLIP2,ENSP00000223398
274,PTGS1,ENSP00000223423
275,CHMP5,ENSP00000223500
276,SEC61B,ENSP00000223641
277,PLGRKT,ENSP00000223864
278,EDF1,ENSP00000224073
279,VIM,ENSP00000224237
280,ACTA2,ENSP00000224784
281,PITRM1,ENSP00000224949
282,PPIF,ENSP00000225174
283,MPO,ENSP00000225275
284,UTP18,ENSP00000225298
285,EPX,ENSP00000225371
286,NUFIP2,ENSP00000225388
287,GIT1,ENSP00000225394
288,RPL19,ENSP00000225430
289,TAX1BP3,ENSP00000225525
290,CBX1,ENSP00000225603
291,GALK1,ENSP00000225614
292,PFN1,ENSP00000225655
293,SLC25A11,ENSP00000225665
294,C1QBP,ENSP00000225698
295,CPD,ENSP00000225719
296,GOSR1,ENSP00000225724
297,CCDC47,ENSP00000225726
298,DRG2,ENSP00000225729
299,SYNGR2,ENSP00000225777
300,DDX5,ENSP00000225792
301,NAGLU,ENSP00000225927
302,ABI3,ENSP00000225941
303,COL1A1,ENSP00000225964
304,MRPL27,ENSP00000225969
305,LRRC59,ENSP00000225972
306,DUSP3,ENSP00000226004
307,VTN,ENSP00000226218
308,ALDOC,ENSP00000226253
309,CD38,ENSP00000226279
310,LAP3,ENSP00000226299
311,AFM,ENSP00000226355
312,NFKB1,ENSP00000226574
313,WFS1,ENSP00000226760
314,GAR1,ENSP00000226796
315,FRG1,ENSP00000226798
316,CRYAB,ENSP00000227251
317,CTSC,ENSP00000227266
318,ZPR1,ENSP00000227322
319,HSPA8,ENSP00000227378
320,CCDC86,ENSP00000227520
321,PRPF19,ENSP00000227524
322,TMEM109,ENSP00000227525
323,APOC3,ENSP00000227667
324,PDHX,ENSP00000227868
325,C11orf58,ENSP00000228136
326,YBX3,ENSP00000228251
327,POLR3B,ENSP00000228347
328,MLEC,ENSP00000228506
329,MVK,ENSP00000228510
330,LTA4H,ENSP00000228740
331,ARPC3,ENSP00000228825
332,CDKN1B,ENSP00000228872
333,OAS3,ENSP00000228928
334,MGP,ENSP00000228938
335,ARHGDIB,ENSP00000228945
336,NUP107,ENSP00000229179
337,CNOT2,ENSP00000229195
338,KRR1,ENSP00000229214
339,MRPL51,ENSP00000229238
340,GAPDH,ENSP00000229239
341,COPS7A,ENSP00000229251
342,TPI1,ENSP00000229270
343,ENO2,ENSP00000229277
344,LDHB,ENSP00000229319
345,PRKAB1,ENSP00000229328
346,CMAS,ENSP00000229329
347,RAB35,ENSP00000229340
348,COX6A1,ENSP00000229379
349,SRSF9,ENSP00000229390
350,NFYA,ENSP00000229418
351,TMEM14C,ENSP00000229563
352,ASF1A,ENSP00000229595
353,HINT3,ENSP00000229633
354,MAPK14,ENSP00000229794
355,STK38,ENSP00000229812
356,CAP2,ENSP00000229922
357,ACOT13,ENSP00000230048
358,RPS12,ENSP00000230050
359,SNX3,ENSP00000230085
360,BYSL,ENSP00000230340
361,PTK7,ENSP00000230419
362,DNPH1,ENSP00000230431
363,EXOC2,ENSP00000230449
364,TMEM30A,ENSP00000230461
365,MEP1A,ENSP00000230588
366,MTREX,ENSP00000230640
367,CD74,ENSP00000230685
368,HARS2,ENSP00000230771
369,DAP,ENSP00000230895
370,SPARC,ENSP00000231061
371,THG1L,ENSP00000231198
372,TTC1,ENSP00000231238
373,LNPEP,ENSP00000231368
374,SKP1,ENSP00000231487
375,NUP155,ENSP00000231498
376,TRAPPC13,ENSP00000231526
377,RARS1,ENSP00000231572
378,EHHADH,ENSP00000231887
379,CRBN,ENSP00000231948
380,HRG,ENSP00000232003
381,GNB4,ENSP00000232564
382,UMPS,ENSP00000232607
383,RRP9,ENSP00000232888
384,WDFY1,ENSP00000233055
385,EIF2AK2,ENSP00000233057
386,CPS1,ENSP00000233072
387,DDX1,ENSP00000233084
388,HEATR5B,ENSP00000233099
389,MDH1,ENSP00000233114
390,TMSB10,ENSP00000233143
391,NCK2,ENSP00000233154
392,NDUFS1,ENSP00000233190
393,APOB,ENSP00000233242
394,SF3B6,ENSP00000233468
395,MPV17,ENSP00000233545
396,EIF2B4,ENSP00000233552
397,NRBP1,ENSP00000233557
398,SNX17,ENSP00000233575
399,REEP6,ENSP00000233596
400,NDUFS7,ENSP00000233627
401,DOK1,ENSP00000233668
402,LANCL1,ENSP00000233714
403,IGFBP2,ENSP00000233809
404,IGFBP5,ENSP00000233813
405,HSPE1,ENSP00000233893
406,AZU1,ENSP00000233997
407,PPP1R7,ENSP00000234038
408,GORASP2,ENSP00000234160
409,CEBPZ,ENSP00000234170
410,SLC1A4,ENSP00000234256
411,COX7A2L,ENSP00000234301
412,PLEK,ENSP00000234313
413,PRTN3,ENSP00000234347
414,MSH6,ENSP00000234420
415,SPR,ENSP00000234454
416,ENO1,ENSP00000234590
417,SARS1,ENSP00000234677
418,CLCA1,ENSP00000234701
419,TMEM59,ENSP00000234831
420,WDR77,ENSP00000235090
421,MFN2,ENSP00000235329
422,WARS2,ENSP00000235521
423,AKR7A2,ENSP00000235835
424,RAB29,ENSP00000235932
425,EBNA1BP2,ENSP00000236051
426,SYF2,ENSP00000236273
427,APOA1,ENSP00000236850
428,EEF1B2,ENSP00000236957
429,ATIC,ENSP00000236959
430,FASTKD2,ENSP00000236980
431,CREB1,ENSP00000236995
432,TTR,ENSP00000237014
433,FBXO30,ENSP00000237281
434,RPN2,ENSP00000237530
435,STBD1,ENSP00000237642
436,LDAH,ENSP00000237822
437,GLRX,ENSP00000237858
438,NDUFB3,ENSP00000237889
439,GDA,ENSP00000238018
440,YWHAQ,ENSP00000238081
441,CPSF3,ENSP00000238112
442,FKBP15,ENSP00000238256
443,HDHD3,ENSP00000238379
444,VPS4B,ENSP00000238497
445,NEK9,ENSP00000238616
446,ACYP1,ENSP00000238618
447,SLIRP,ENSP00000238688
448,TP53I3,ENSP00000238721
449,TMEM214,ENSP00000238788
450,FAM98A,ENSP00000238823
451,YIPF4,ENSP00000238831
452,PDZD11,ENSP00000239666
453,NUDCD1,ENSP00000239690
454,UFM1,ENSP00000239878
455,ALG5,ENSP00000239891
456,PFN2,ENSP00000239940
457,WASHC3,ENSP00000240079
458,SLC39A14,ENSP00000240095
459,SORBS3,ENSP00000240123
460,TARDBP,ENSP00000240185
461,RDH10,ENSP00000240285
462,LUC7L3,ENSP00000240304
463,COIL,ENSP00000240316
464,NCAPH,ENSP00000240423
465,PLBD1,ENSP00000240617
466,TFG,ENSP00000240851
467,NAA50,ENSP00000240922
468,GSTM2,ENSP00000241337
469,MRPS2,ENSP00000241600
470,COPA,ENSP00000241704
471,SCRN1,ENSP00000242059
472,FKBP9,ENSP00000242209
473,ZC3HAV1,ENSP00000242351
474,DYNLL1,ENSP00000242577
475,ACADS,ENSP00000242592
476,DDX39A,ENSP00000242776
477,PKN1,ENSP00000242783
478,TRIR,ENSP00000242784
479,ADGRE5,ENSP00000242786
480,ZC3H13,ENSP00000242848
481,LRP1,ENSP00000243077
482,FAAH,ENSP00000243167
483,SEC61A1,ENSP00000243253
484,RIF1,ENSP00000243326
485,NMI,ENSP00000243346
486,EXOSC9,ENSP00000243498
487,SNRPA,ENSP00000243563
488,C4BPB,ENSP00000243611
489,ATP5F1E,ENSP00000243997
490,PLCG1,ENSP00000244007
491,RAB22A,ENSP00000244040
492,PTGIS,ENSP00000244043
493,MOCS3,ENSP00000244051
494,RNF114,ENSP00000244061
495,PEPD,ENSP00000244137
496,MCEE,ENSP00000244217
497,MPHOSPH10,ENSP00000244230
498,LIPE,ENSP00000244289
499,SNRPC,ENSP00000244520
500,H1-3,ENSP00000244534
501,AARS2,ENSP00000244571
502,COL21A1,ENSP00000244728
503,SSR1,ENSP00000244763
504,EMC3,ENSP00000245046
505,GOT2,ENSP00000245206
506,UPF3B,ENSP00000245418
507,RPS29,ENSP00000245458
508,MRPS7,ENSP00000245539
509,NUP85,ENSP00000245544
510,NT5C,ENSP00000245552
511,CLPP,ENSP00000245816
512,THOC2,ENSP00000245838
513,C3,ENSP00000245907
514,RTN2,ENSP00000245923
515,EML2,ENSP00000245925
516,VASP,ENSP00000245932
517,SYMPK,ENSP00000245934
518,TMX4,ENSP00000246024
519,RRBP1,ENSP00000246043
520,DSTN,ENSP00000246069
521,SNRPB2,ENSP00000246071
522,NCLN,ENSP00000246117
523,PITHD1,ENSP00000246151
524,RALY,ENSP00000246194
525,UROD,ENSP00000246337
526,CAPNS1,ENSP00000246533
527,UBA2,ENSP00000246548
528,RRAS,ENSP00000246792
529,SBDS,ENSP00000246868
530,TRAP1,ENSP00000246957
531,SUGP1,ENSP00000247001
532,DDX49,ENSP00000247003
533,SDF2,ENSP00000247020
534,CFP,ENSP00000247153
535,L3HYPDH,ENSP00000247194
536,HSPA2,ENSP00000247207
537,CANX,ENSP00000247461
538,PYCARD,ENSP00000247470
539,COX7C,ENSP00000247655
540,PHPT1,ENSP00000247665
541,TRAF2,ENSP00000247668
542,TSPAN8,ENSP00000247829
543,NDUFB2,ENSP00000247866
544,IDUA,ENSP00000247933
545,PIN1,ENSP00000247970
546,JPT2,ENSP00000248098
547,MON1B,ENSP00000248248
548,EIF3K,ENSP00000248342
549,EMC6,ENSP00000248378
550,TUBA4A,ENSP00000248437
551,VIL1,ENSP00000248444
552,AAMP,ENSP00000248450
553,HSPB1,ENSP00000248553
554,PTPN12,ENSP00000248594
555,FGL2,ENSP00000248598
556,PEX1,ENSP00000248633
557,NCF4,ENSP00000248899
558,SGSM3,ENSP00000248929
559,SDF2L1,ENSP00000248958
560,YWHAH,ENSP00000248975
561,CDC42EP1,ENSP00000249014
562,TST,ENSP00000249042
563,APOL2,ENSP00000249066
564,RAC2,ENSP00000249071
565,PMPCB,ENSP00000249269
566,ATP6V1F,ENSP00000249289
567,LSM8,ENSP00000249299
568,CALU,ENSP00000249364
569,SIRT2,ENSP00000249396
570,MTX2,ENSP00000249442
571,SNAP23,ENSP00000249647
572,TMOD2,ENSP00000249700
573,SERF2,ENSP00000249786
574,ARPP19,ENSP00000249822
575,VPS13C,ENSP00000249837
576,ISLR,ENSP00000249842
577,COPB1,ENSP00000249923
578,TXNDC17,ENSP00000250101
579,FXR2,ENSP00000250113
580,MPDU1,ENSP00000250124
581,QTRT1,ENSP00000250237
582,AP1M2,ENSP00000250244
583,CMA1,ENSP00000250378
584,DAD1,ENSP00000250498
585,RAP1B,ENSP00000250559
586,ARHGEF6,ENSP00000250617
587,ZC3H14,ENSP00000251038
588,LMAN1,ENSP00000251047
589,NUP37,ENSP00000251074
590,DOCK7,ENSP00000251157
591,TUBG1,ENSP00000251413
592,RPS16,ENSP00000251453
593,RABGAP1L,ENSP00000251507
594,UGT2A3,ENSP00000251566
595,TRNT1,ENSP00000251607
596,DHX29,ENSP00000251636
597,PCCB,ENSP00000251654
598,ARFGEF3,ENSP00000251691
599,SNX4,ENSP00000251775
600,SPAG1,ENSP00000251809
601,RRM2B,ENSP00000251810
602,TSG101,ENSP00000251968
603,TYMP,ENSP00000252029
604,ELN,ENSP00000252034
605,NDUFA2,ENSP00000252102
606,UBE4A,ENSP00000252108
607,POLDIP3,ENSP00000252115
608,PSMG3,ENSP00000252329
609,CNN1,ENSP00000252456
610,CDC16,ENSP00000252457
611,NECTIN2,ENSP00000252485
612,APOE,ENSP00000252486
613,TOMM40,ENSP00000252487
614,XPO7,ENSP00000252512
615,SAFB2,ENSP00000252542
616,RPL36,ENSP00000252543
617,PLVAP,ENSP00000252590
618,BST2,ENSP00000252593
619,SLC27A1,ENSP00000252595
620,COLGALT1,ENSP00000252599
621,PGLS,ENSP00000252603
622,LSM7,ENSP00000252622
623,ACTN4,ENSP00000252699
624,NDUFA10,ENSP00000252711
625,SCO2,ENSP00000252785
626,PXDN,ENSP00000252804
627,TRPM4,ENSP00000252826
628,ATXN10,ENSP00000252934
629,TUBGCP2,ENSP00000252936
630,LAMA5,ENSP00000252999
631,ADRM1,ENSP00000253003
632,ASS1,ENSP00000253004
633,UBE2M,ENSP00000253023
634,TRIM28,ENSP00000253024
635,EIF2S3,ENSP00000253039
636,ZC3H4,ENSP00000253048
637,HIP1R,ENSP00000253083
638,MRPL4,ENSP00000253099
639,EIF3G,ENSP00000253108
640,SHFL,ENSP00000253110
641,GRWD1,ENSP00000253237
642,NOL11,ENSP00000253247
643,UBE4B,ENSP00000253251
644,PPIL4,ENSP00000253329
645,AKAP12,ENSP00000253332
646,ACSS2,ENSP00000253382
647,ATP6V1E1,ENSP00000253413
648,COX4I1,ENSP00000253452
649,EMC8,ENSP00000253457
650,F12,ENSP00000253496
651,ABCB7,ENSP00000253577
652,MRPS25,ENSP00000253686
653,TBC1D5,ENSP00000253692
654,CAPN7,ENSP00000253693
655,RBSN,ENSP00000253699
656,PDLIM4,ENSP00000253754
657,RPL27,ENSP00000253788
658,ACLY,ENSP00000253792
659,VPS25,ENSP00000253794
660,EXOC4,ENSP00000253861
661,PPFIA1,ENSP00000253925
662,WDR44,ENSP00000254029
663,PPP1R1B,ENSP00000254079
664,PRKAB2,ENSP00000254101
665,FUS,ENSP00000254108
666,SNRPA1,ENSP00000254193
667,RHPN2,ENSP00000254260
668,ACTR10,ENSP00000254286
669,LGALS3,ENSP00000254301
670,DNAJB1,ENSP00000254322
671,SDC1,ENSP00000254351
672,TRIM21,ENSP00000254436
673,WDR7,ENSP00000254442
674,SMARCC1,ENSP00000254480
675,NUP210,ENSP00000254508
676,HSD17B7,ENSP00000254521
677,EMILIN2,ENSP00000254528
678,ARFIP2,ENSP00000254584
679,RRP8,ENSP00000254605
680,EFR3A,ENSP00000254624
681,PTCD3,ENSP00000254630
682,ILKAP,ENSP00000254654
683,SCLY,ENSP00000254663
684,PTPRE,ENSP00000254667
685,MYBBP1A,ENSP00000254718
686,RPA1,ENSP00000254719
687,SERPINF1,ENSP00000254722
688,EEFSEC,ENSP00000254730
689,COQ3,ENSP00000254759
690,LANCL2,ENSP00000254770
691,GRSF1,ENSP00000254799
692,JCHAIN,ENSP00000254801
693,UTP3,ENSP00000254803
694,WBP2,ENSP00000254806
695,TRIM47,ENSP00000254816
696,ZRANB2,ENSP00000254821
697,RIDA,ENSP00000254878
698,PCBD2,ENSP00000254908
699,NIP7,ENSP00000254940
700,VPS4A,ENSP00000254950
701,HSPA12B,ENSP00000254963
702,APCS,ENSP00000255040
703,NASP,ENSP00000255120
704,AP3B1,ENSP00000255194
705,XPO4,ENSP00000255305
706,SCO1,ENSP00000255390
707,DCLK1,ENSP00000255448
708,HSPBP1,ENSP00000255631
709,MACROD1,ENSP00000255681
710,CCDC134,ENSP00000255784
711,PI4KA,ENSP00000255882
712,GIMAP4,ENSP00000255945
713,IPO8,ENSP00000256079
714,FABP4,ENSP00000256104
715,LYVE1,ENSP00000256178
716,RRAS2,ENSP00000256196
717,ERG28,ENSP00000256319
718,DGLUCY,ENSP00000256324
719,EIF2S1,ENSP00000256383
720,ELP3,ENSP00000256398
721,MBD2,ENSP00000256429
722,MRPS36,ENSP00000256441
723,CAMK1,ENSP00000256460
724,ARL8B,ENSP00000256496
725,CHL1,ENSP00000256509
726,EMC7,ENSP00000256545
727,AMPD2,ENSP00000256578
728,REG4,ENSP00000256585
729,GSTM3,ENSP00000256594
730,SORT1,ENSP00000256637
731,CMPK2,ENSP00000256722
732,CFHR5,ENSP00000256785
733,ERN2,ENSP00000256797
734,NARS1,ENSP00000256854
735,DDB2,ENSP00000256996
736,ACP2,ENSP00000256997
737,PRPF38A,ENSP00000257181
738,ELP2,ENSP00000257191
739,TIMM10,ENSP00000257245
740,CARS2,ENSP00000257347
741,ANXA1,ENSP00000257497
742,TRAFD1,ENSP00000257604
743,RINT1,ENSP00000257700
744,NT5E,ENSP00000257770
745,NAT10,ENSP00000257829
746,CD63,ENSP00000257857
747,PRPH,ENSP00000257860
748,TFCP2,ENSP00000257915
749,REPS1,ENSP00000258062
750,HTRA2,ENSP00000258080
751,CCT7,ENSP00000258091
752,MRPL53,ENSP00000258105
753,USP15,ENSP00000258123
754,GNS,ENSP00000258145
755,DYNC1LI2,ENSP00000258198
756,FHOD1,ENSP00000258201
757,STX6,ENSP00000258301
758,LAMC1,ENSP00000258341
759,MRPL44,ENSP00000258383
760,DOCK10,ENSP00000258390
761,CYP27A1,ENSP00000258415
762,EIF4E2,ENSP00000258416
763,CAB39,ENSP00000258418
764,COX5B,ENSP00000258424
765,MRPS9,ENSP00000258455
766,ALDH1L2,ENSP00000258494
767,APPL2,ENSP00000258530
768,MED4,ENSP00000258648
769,COG3,ENSP00000258654
770,GPNMB,ENSP00000258733
771,BZW2,ENSP00000258761
772,TBRG4,ENSP00000258770
773,DDX56,ENSP00000258772
774,MYO1G,ENSP00000258787
775,IREB2,ENSP00000258886
776,CALCOCO2,ENSP00000258947
777,NMT1,ENSP00000258960
778,SRSF1,ENSP00000258962
779,TACO1,ENSP00000258975
780,NDUFB5,ENSP00000259037
781,MRPL47,ENSP00000259038
782,GALNT5,ENSP00000259056
783,BIN1,ENSP00000259238
784,UGGT1,ENSP00000259253
785,TOR1B,ENSP00000259339
786,TMOD1,ENSP00000259365
787,ORM1,ENSP00000259396
788,STX17,ENSP00000259400
789,PSMB7,ENSP00000259457
790,RPL35,ENSP00000259469
791,ARPC5L,ENSP00000259477
792,DERL1,ENSP00000259512
793,CCL21,ENSP00000259607
794,DCTN3,ENSP00000259632
795,HINT2,ENSP00000259667
796,GMPR,ENSP00000259727
797,RIPK1,ENSP00000259808
798,TUBB2B,ENSP00000259818
799,MRPS18B,ENSP00000259873
800,MRPL15,ENSP00000260102
801,GGH,ENSP00000260118
802,SULF1,ENSP00000260128
803,SDCBP,ENSP00000260130
804,SORL1,ENSP00000260197
805,FDX1,ENSP00000260270
806,SQOR,ENSP00000260324
807,THBS1,ENSP00000260356
808,RMDN3,ENSP00000260385
809,ADAM10,ENSP00000260408
810,GCHFR,ENSP00000260447
811,KYAT3,ENSP00000260508
812,SELENOI,ENSP00000260585
813,ACTR2,ENSP00000260641
814,PREB,ENSP00000260643
815,PREPL,ENSP00000260648
816,LRPPRC,ENSP00000260665
817,ARL3,ENSP00000260746
818,DBR1,ENSP00000260803
819,DNAJC13,ENSP00000260818
820,SSB,ENSP00000260956
821,PPIG,ENSP00000260970
822,IDH1,ENSP00000260985
823,WDR12,ENSP00000261015
824,ITGAV,ENSP00000261023
825,COL8A1,ENSP00000261037
826,COX17,ENSP00000261070
827,WBP11,ENSP00000261167
828,OSBPL8,ENSP00000261183
829,INTS13,ENSP00000261191
830,PPP1R12A,ENSP00000261207
831,TRMT5,ENSP00000261249
832,RAB21,ENSP00000261263
833,PSMC1,ENSP00000261303
834,PPWD1,ENSP00000261308
835,PEBP1,ENSP00000261313
836,LMNB1,ENSP00000261366
