Original comparison,Species,Majority protein IDs,Fasta headers,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank
50Vs0.5,UPS,P62937ups,">P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)",6,6,6,24.9,24.9,24.9,20.176,1.60E+08,1.54E+08,1.52E+08,,,,27.2535,27.1991,27.1782,22.1921,22.1527,22.1647,4.59903,2.5175E-05,0.006007678,5.04044,3.821498372,3.821498372,1,1,1,11
50Vs0.5,UPS,P02144ups,>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human),7,7,7,62.1,62.1,62.1,17.052,2.11E+08,2.19E+08,2.26E+08,,,,27.6539,27.7048,27.7507,22.1921,22.1527,22.1647,4.52339,2.99647E-05,0.006554779,5.53331,4.19411189,4.19411189,1,1,1,12
50Vs0.5,UPS,P00441ups,>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human),4,4,4,43.8,43.8,43.8,15.804,1.15E+08,1.13E+08,1.20E+08,,,,26.7808,26.751,26.8326,22.1921,22.1527,22.1647,4.48125,3.30179E-05,0.006667084,4.61831,3.502364839,3.502364839,1,1,1,13
50Vs0.5,UPS,P01112ups,>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human),7,7,7,54.5,54.5,54.5,21.298,1.65E+08,1.74E+08,1.77E+08,,,,27.2977,27.3774,27.3982,22.1921,22.1527,22.1647,4.39903,3.98997E-05,0.0074812,5.18794,3.933009509,3.933009509,1,1,1,14
50Vs0.5,UPS,P01127ups,>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human),6,6,6,64.2,64.2,64.2,12.294,1.54E+08,1.64E+08,1.64E+08,,,,27.1988,27.2889,27.293,22.1921,22.1527,22.1647,4.37976,4.171E-05,0.007299247,5.09041,3.859276077,3.859276077,1,1,1,15
50Vs0.5,UPS,P00709ups,>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human),5,5,5,39,39,39,14.078,1.68E+08,1.56E+08,1.59E+08,,,,27.3234,27.216,27.2465,22.1921,22.1527,22.1647,4.3505,4.4617E-05,0.00731997,5.09214,3.86058397,3.86058397,1,1,1,16
50Vs0.5,UPS,O00762ups,">O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)",8,8,8,70.3,70.3,70.3,20.475,4.52E+08,4.19E+08,4.61E+08,,,,28.7505,28.6407,28.7813,22.1921,22.1527,22.1647,4.34157,4.55439E-05,0.00703251,6.55434,4.966018438,4.966018438,1,1,1,17
50Vs0.5,UPS,P61626ups,>P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human),5,5,5,48.5,48.5,48.5,14.701,2.29E+08,2.44E+08,2.49E+08,,,,27.7686,27.8651,27.892,22.1921,22.1527,22.1647,4.32015,4.78465E-05,0.006977612,5.67208,4.299023079,4.299023079,1,1,1,18
50Vs0.5,UPS,P01344ups,>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human),3,3,3,73.1,73.1,73.1,7.4754,2.08E+08,2.16E+08,2.31E+08,,,,27.6322,27.6835,27.7845,22.1921,22.1527,22.1647,4.15563,6.98828E-05,0.009172111,5.53024,4.191790946,4.191790946,1,1,1,20
50Vs0.5,UPS,P02753ups,>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3,4,4,4,29.9,29.9,29.9,23.01,8.00E+07,8.22E+07,8.64E+07,,,,26.253,26.2932,26.3644,22.1921,22.1527,22.1647,4.1547,7.00326E-05,0.00875407,4.13371,3.136003504,3.136003504,1,1,1,21
50Vs0.5,UPS,P63165ups,">P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)",10,10,10,28.3,28.3,28.3,38.814,3.07E+08,2.75E+08,2.80E+08,,,,28.192,28.0346,28.0629,22.1921,22.1527,22.1647,4.15074,7.06741E-05,0.0084327,5.92668,4.491502641,4.491502641,1,1,1,22
50Vs0.5,UPS,P01031ups,>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human),4,4,4,67.6,67.6,67.6,8.2736,8.46E+07,8.71E+07,9.19E+07,,,,26.3346,26.3755,26.453,22.1921,22.1527,22.1647,4.1227,7.53876E-05,0.008604021,4.21788,3.199636673,3.199636673,1,1,1,23
50Vs0.5,UPS,P06396ups;CON__Q3SX14,>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin,24,24,24,40.4,40.4,40.4,82.958,8.86E+08,8.75E+08,8.93E+08,,4.08E+06,,29.7229,29.7049,29.7346,22.1921,21.9587,22.1647,4.02315,9.48091E-05,0.010369745,7.61565,5.768376977,5.768376977,1,1,1,24
50Vs0.5,UPS,P05413ups,">P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)",8,8,8,63.6,63.6,63.6,14.727,2.09E+08,2.21E+08,2.33E+08,,,4.38E+06,27.6369,27.7224,27.7958,22.1921,22.1527,22.0614,3.93673,0.000115683,0.012146728,5.58297,4.231655233,4.231655233,1,1,1,25
50Vs0.5,UPS,P16083ups,>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human),13,13,13,80,80,80,25.821,5.57E+08,5.34E+08,5.53E+08,,,5.60E+06,29.0537,28.9933,29.043,22.1921,22.1527,22.4164,3.81139,0.000154387,0.015009822,6.77627,5.133799229,5.133799229,1,1,1,27
50Vs0.5,UPS,P02788ups,>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human),38,38,37,65.4,65.4,63.7,76.164,1.17E+09,1.21E+09,1.16E+09,,,5.82E+06,30.1279,30.1695,30.1082,22.1921,22.1527,22.473,3.77023,0.000169734,0.015912605,7.8626,5.95507308,5.95507308,1,1,1,28
50Vs0.5,UPS,P62979ups,>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,6,1,1,34,10.3,10.3,17.965,4.04E+07,4.22E+07,3.83E+07,,,,25.2681,25.3306,25.192,22.1921,22.1527,22.1647,3.74005,0.000181949,0.016469534,3.09374,2.34977817,2.34977817,1,1,1,29
50Vs0.5,UPS,P99999ups,>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human),5,5,5,49,49,49,11.617,9.88E+07,9.51E+07,1.10E+08,,,,26.5587,26.5032,26.7074,22.1921,22.1527,22.1647,3.70528,0.000197115,0.017247575,4.41994,3.35239559,3.35239559,1,1,1,30
50Vs0.5,UPS,P61769ups,>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human),3,3,3,42.4,42.4,42.4,11.731,8.87E+07,9.12E+07,1.02E+08,,,,26.4022,26.4423,26.5979,22.1921,22.1527,22.1647,3.70131,0.000198925,0.01684448,4.31098,3.27002099,3.27002099,1,1,1,31
50Vs0.5,UPS,O76070ups,>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),11,11,11,70.1,70.1,70.1,15.494,3.75E+08,4.44E+08,4.24E+08,,5.63E+06,4.89E+06,28.4826,28.726,28.6606,22.1921,22.4235,22.2224,3.58112,0.000262349,0.021520845,6.34373,4.806795655,4.806795655,1,1,1,32
50Vs0.5,UPS,P10599ups,">P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)",2,2,2,20,20,20,12.429,6.61E+07,5.70E+07,6.02E+07,,,,25.9781,25.7633,25.8422,22.1921,22.1527,22.1647,3.52486,0.000298635,0.023056341,3.69138,2.801598616,2.801598616,1,1,1,34
50Vs0.5,UPS,P01133ups,>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human),1,1,1,24.1,24.1,24.1,6.3532,3.39E+07,3.58E+07,3.19E+07,,,,25.0155,25.0948,24.9278,22.1921,22.1527,22.1647,3.51642,0.000304495,0.022837116,2.84288,2.160126077,2.160126077,1,1,1,35
50Vs0.5,UPS,CON__P02768-1;P02768ups,>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human),33,33,33,62.6,62.6,62.6,69.366,1.09E+09,1.20E+09,1.14E+09,,3.87E+06,5.38E+06,30.0242,30.1562,30.0808,22.1921,21.8833,22.3587,3.48086,0.000330476,0.024097212,7.94237,6.015379815,6.015379815,1,1,1,36
50Vs0.5,UPS,P06732ups,>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human),18,18,18,52.5,52.5,52.5,43.101,5.66E+08,5.85E+08,5.64E+08,,,3.63E+06,29.0765,29.123,29.0717,22.1921,22.1527,21.7914,3.47782,0.000332797,0.02361063,7.045,5.33696118,5.33696118,1,1,1,37
50Vs0.5,UPS,P10636-8ups,>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human),16,16,16,51.8,51.8,51.8,45.718,7.33E+08,7.57E+08,7.20E+08,,3.92E+06,5.51E+06,29.4497,29.4959,29.4228,22.1921,21.9009,22.3935,3.40602,0.000392627,0.026426807,7.29397,5.525184418,5.525184418,1,1,1,39
50Vs0.5,UPS,P10145ups,">P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)",3,3,3,44.4,44.4,44.4,8.3857,1.00E+08,1.17E+08,1.27E+08,,,,26.5815,26.8032,26.9157,22.1921,22.1527,22.1647,3.33514,0.000462232,0.028889499,4.59698,3.486239194,3.486239194,1,1,1,42
50Vs0.5,UPS,P09211ups,>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human),4,4,4,32.5,32.5,32.5,23.224,9.78E+07,7.78E+07,9.56E+07,,,,26.5437,26.213,26.5104,22.1921,22.1527,22.1647,3.20899,0.000618031,0.034517668,4.25254,3.2258399,3.2258399,1,1,1,47
50Vs0.5,UPS,CON__P01966;P69905ups,>P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha;>P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human),3,3,3,28.2,28.2,28.2,15.184,3.52E+07,2.93E+07,3.37E+07,,,,25.0703,24.805,25.0055,22.1921,22.1527,22.1647,3.07813,0.000835353,0.042996107,2.79044,2.120481033,2.120481033,1,1,1,51
50Vs0.5,UPS,P15559ups,>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human),7,7,7,25.6,25.6,25.6,30.736,2.19E+08,2.15E+08,2.36E+08,,,3.29E+06,27.7068,27.6823,27.8146,22.1921,22.1527,21.6497,3.0109,0.000975214,0.048300701,5.7364,4.347649495,4.347649495,1,1,1,53
50Vs0.5,UPS,P01008ups,>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human),19,19,19,51.6,51.6,51.6,49.039,5.08E+08,5.29E+08,5.14E+08,,,2.84E+06,28.9193,28.9784,28.9375,22.1921,22.1527,21.4356,2.90969,0.001231147,0.055720026,7.01827,5.316753094,5.316753094,1,0,1,58
50Vs0.5,UPS,Q15843ups,>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human),2,2,2,34.6,34.6,34.6,9.0714,7.42E+07,6.28E+07,4.99E+07,,,,26.1451,25.9032,25.573,22.1921,22.1527,22.1647,2.6973,0.002007705,0.074228547,3.70394,2.811094072,2.811094072,1,0,1,71
50Vs0.5,UPS,Q06830ups,>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human),12,12,12,61.1,61.1,61.1,21.979,3.36E+08,3.62E+08,3.46E+08,,6.31E+06,9.55E+06,28.3258,28.4324,28.3659,22.1921,22.5884,23.1868,2.58918,0.002575254,0.077701617,5.71894,4.334449601,4.334449601,1,0,1,87
50Vs0.5,UPS,P41159ups,>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human),5,5,5,49,49,49,16.157,3.62E+08,3.33E+08,3.57E+08,,2.29E+06,,28.4328,28.3124,28.4116,22.1921,21.1282,22.1647,2.54196,0.002871045,0.077695805,6.55728,4.968241101,4.968241101,1,0,1,97
50Vs0.5,UPS,P08758ups,>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human),16,16,16,60.5,60.5,60.5,35.805,5.45E+08,5.69E+08,5.87E+08,,3.15E+06,9.82E+06,29.0226,29.0847,29.1297,22.1921,21.5871,23.2266,2.29919,0.005021229,0.105445802,6.74373,5.109198738,5.109198738,1,0,1,125
50Vs0.5,UPS,P00918ups,>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human),8,8,8,45.6,45.6,45.6,29.114,2.86E+08,4.08E+08,2.68E+08,,1.46E+07,,28.0909,28.6023,27.9986,22.1921,23.8037,22.1647,1.97239,0.010656387,0.148792643,5.51045,4.176829554,4.176829554,1,0,1,188
50Vs0.5,UPS,P12081ups,">P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)",22,22,21,52.6,52.6,50.9,58.233,5.21E+08,5.71E+08,5.05E+08,,2.55E+07,2.50E+07,28.9571,29.0901,28.9111,22.1921,24.6037,24.5778,1.63865,0.022979999,0.192723631,5.1949,3.938271322,3.938271322,1,0,1,313
50Vs0.5,UPS,P02741ups,>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human),5,5,5,23.6,23.6,23.6,23.251,7.78E+07,1.17E+08,1.15E+08,,1.99E+07,1.85E+07,26.2138,26.8001,26.7822,22.1921,24.2436,24.14,1.32376,0.047450413,0.245675217,3.07347,2.334453894,2.334453894,1,0,1,507
50Vs0.5,UPS,P08263ups,>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human),7,7,7,44.3,44.3,44.3,25.5,8.04E+07,8.40E+07,1.13E+08,,2.70E+07,2.80E+07,26.2608,26.3232,26.7548,22.1921,24.685,24.7368,1.02395,0.094634611,0.311688649,2.57497,1.957584052,1.957584052,0,0,0,797
50Vs5,UPS,>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human),11,11,11,70.1,70.1,70.1,15.494,3.57E+08,3.68E+08,3.56E+08,2.03E+07,2.04E+07,1.93E+07,28.4093,28.4571,28.4079,24.2764,24.282,24.2039,4.28903,5.14008E-05,0.007101428,4.17067,4.562443006,4.562443006,1,1,1,19
50Vs5,UPS,>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human),>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human),3,3,3,73.1,73.1,73.1,7.4754,1.73E+08,1.77E+08,1.87E+08,2.60E+07,2.79E+07,2.65E+07,27.3634,27.3992,27.4749,24.6298,24.7318,24.6588,3.57412,0.000266612,0.021207788,2.73903,3.04866619,3.04866619,1,1,1,33
50Vs5,UPS,>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human),>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human),5,5,5,45.5,45.5,45.5,16.776,1.78E+08,1.73E+08,1.74E+08,1.30E+07,1.14E+07,1.34E+07,27.4046,27.366,27.3746,23.6266,23.4383,23.6778,3.42448,0.000376288,0.025993557,3.80083,4.171384348,4.171384348,1,1,1,38
50Vs5,UPS,>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human),>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human),5,5,5,39,39,39,14.078,1.48E+08,1.39E+08,1.41E+08,7.50E+06,8.55E+06,7.09E+06,27.1375,27.0455,27.0754,22.8383,23.0267,22.7572,3.3976,0.000400313,0.025629814,4.21207,4.606218229,4.606218229,1,1,1,41
50Vs5,UPS,>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human),>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human),5,5,5,49,49,49,16.157,3.14E+08,2.97E+08,3.14E+08,2.33E+07,2.77E+07,2.66E+07,28.2265,28.144,28.2282,24.4721,24.7233,24.6629,3.29501,0.000506979,0.030245908,3.58013,3.938022229,3.938022229,1,1,1,44
50Vs5,UPS,>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human),>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human),8,8,8,45.6,45.6,45.6,29.114,2.77E+08,2.81E+08,2.75E+08,1.88E+07,2.41E+07,2.32E+07,28.0441,28.0656,28.0349,24.1669,24.5198,24.4695,3.04083,0.00091027,0.045951105,3.6628,4.025435217,4.025435217,1,1,1,52
50Vs5,UPS,>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human),>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human),7,7,7,54.5,54.5,54.5,21.298,1.30E+08,1.49E+08,1.49E+08,1.15E+07,1.42E+07,1.36E+07,26.9536,27.1533,27.1531,23.4578,23.764,23.6991,2.95803,0.001101463,0.053543351,3.44637,3.796588079,3.796588079,1,0,1,54
50Vs5,UPS,>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human),>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human),2,2,2,34.6,34.6,34.6,9.0714,6.15E+07,5.36E+07,4.71E+07,,3.61E+06,,25.8749,25.6757,25.4906,22.0116,21.7826,21.9482,2.9228,0.001194538,0.055993973,3.76625,4.134820406,4.134820406,1,0,1,56
50Vs5,UPS,>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human),>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human),16,16,16,51.8,51.8,51.8,45.718,6.45E+08,6.69E+08,6.35E+08,6.38E+07,4.96E+07,4.93E+07,29.2647,29.3168,29.2429,25.9277,25.5643,25.5549,2.92004,0.001202154,0.055362342,3.5925,3.951101928,3.951101928,1,0,1,57
50Vs5,UPS,>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human),>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human),25,25,25,56.5,56.5,56.5,59.624,8.77E+08,8.71E+08,9.53E+08,3.26E+07,4.60E+07,4.82E+07,29.7079,29.6987,29.8278,24.9581,25.4564,25.5225,2.76982,0.001698948,0.067571782,4.43247,4.839263136,4.839263136,1,0,1,66
50Vs5,UPS,">P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)",">P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)",23,23,22,54.4,54.4,52.6,58.233,4.66E+08,4.78E+08,4.61E+08,2.25E+07,3.32E+07,3.04E+07,28.7969,28.8339,28.7789,24.4222,24.9855,24.8566,2.74892,0.001782707,0.068817738,4.04847,4.433232082,4.433232082,1,0,1,68
50Vs5,UPS,>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human),>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human),7,7,7,62.1,62.1,62.1,17.052,1.81E+08,1.85E+08,1.95E+08,1.86E+07,1.39E+07,1.31E+07,27.4309,27.4639,27.5381,24.1485,23.7261,23.6476,2.72133,0.001899634,0.072268696,3.6369,3.998049268,3.998049268,1,0,1,69
50Vs5,UPS,>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human),>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human),7,7,7,25.6,25.6,25.6,30.736,1.82E+08,1.83E+08,2.03E+08,1.32E+07,1.87E+07,1.39E+07,27.4422,27.4486,27.5988,23.6527,24.1585,23.724,2.68534,0.002063764,0.074210686,3.65147,4.013455186,4.013455186,1,0,1,73
50Vs5,UPS,>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human),>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human),12,12,12,61.1,61.1,61.1,21.979,3.05E+08,3.28E+08,2.93E+08,1.48E+07,2.26E+07,2.06E+07,28.1857,28.2873,28.1245,23.8224,24.43,24.2954,2.65046,0.002236351,0.078272291,4.01657,4.399501899,4.399501899,1,0,1,75
50Vs5,UPS,CON__P02768-1;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human),>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human),34,34,34,63.9,63.9,63.9,69.366,9.65E+08,1.00E+09,9.95E+08,5.75E+07,7.99E+07,8.60E+07,29.8461,29.9038,29.8896,25.7762,26.2516,26.3585,2.6402,0.002289813,0.079088933,3.75107,4.11876949,4.11876949,1,0,1,76
