Original comparison,Species,Protein Name,"seq coverage 0,5fmol/µg","seq coverage 5fmol/µg","seq coverage 12,5fmol/µg","seq coverage 25fmol/µg","seq coverage50fmol/µg","shared peptides, 0.5fmol/µg","shared peptides, 5fmol/µg","shared peptides, 12.5fmol/µg","shared peptide, 25fmol/µg","shared peptide, 50fmol/µg","discriminant peptides, 0.5fmol/µg","discriminant peptides, 5fmol/µg","discriminant peptides, 12.5fmol/µg","discriminant peptides, 25fmol/µg","discriminant peptides, 50fmol/µg",Mol. weight [kDa],Protein description,A1 (raw),A2 (raw),A3 (raw),B1 (raw),B2 (raw),B3 (raw),A1 (log),A2 (log),A3 (log),B1 (log),B2 (log),B3 (log),-Log10 (welch p value),Welch p-value,BH corrected Welch p-value,welch Difference,Z-score,ABS(z-score),"Filtering 1(Welch p-value<0,05)","Filtering 2(BH corrected Welch p-value <0,05)","Filtering 3(Welch p-value<0,05 and z-score>1)",rank,,,
50Vs5,UPS1,sp|P02788,0%,6%,26%,37%,45%,0,0,0,0,0,0,3,13,17,23,78182.3, Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6,4.44E+10,4.23E+10,4.06E+10,4.41E+09,5.13E+09,4.54E+09,35.37,35.30,35.24,32.04,32.26,32.08,3.23293,0.00058,0.07294,3.17817,2.96678,2.96678,1,0,1,21,,,
50Vs5,UPS1,sp|P06396,0%,3%,11%,21%,27%,0,0,0,0,0,0,2,5,10,14,85697.8, Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1,2.36E+10,2.19E+10,2.33E+10,2.61E+09,2.25E+09,2.19E+09,34.46,34.35,34.44,31.28,31.07,31.03,3.17736,0.00066,0.07254,3.28953,3.07635,3.07635,1,0,1,24,,,
50Vs5,UPS1,sp|P02741,0%,0%,0%,4%,7%,0,0,0,0,0,0,0,0,1,1,25039.0, C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1,2.61E+09,2.54E+09,2.58E+09,4.57E+08,5.09E+08,5.28E+08,31.28,31.24,31.26,28.77,28.92,28.98,3.14077,0.00072,0.07576,2.37320,2.17474,2.17474,1,0,1,25,,,
50Vs5,UPS1,sp|P00441,0%,0%,9%,17%,39%,0,0,0,0,0,0,0,1,1,3,15935.3, Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2,3.51E+09,3.69E+09,4.33E+09,3.49E+08,3.50E+08,3.75E+08,31.71,31.78,32.01,28.38,28.38,28.48,3.08773,0.00082,0.07926,3.41847,3.20322,3.20322,1,0,1,27,,,
50Vs5,UPS1,sp|P61769,0%,0%,19%,19%,30%,0,0,0,0,0,0,0,1,1,2,13714.9, Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,3.73E+09,3.57E+09,3.71E+09,3.49E+08,2.81E+08,3.42E+08,31.80,31.73,31.79,28.38,28.07,28.35,3.08498,0.00082,0.07691,3.50757,3.29089,3.29089,1,0,1,28,,,
50Vs5,UPS1,sp|P06732,0%,6%,16%,22%,36%,0,0,0,0,0,0,2,5,6,10,43101.6, Creatine kinase M-type OS=Homo sapiens GN=CKM PE=1 SV=2,1.68E+10,1.64E+10,1.61E+10,2.48E+09,2.86E+09,2.40E+09,33.97,33.93,33.91,31.21,31.41,31.16,3.05480,0.00088,0.07695,2.67640,2.47307,2.47307,1,0,1,30,,,
50Vs5,UPS1,sp|O00762,0%,12%,30%,38%,68%,0,0,0,0,0,0,1,4,4,8,19652.9, Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1,1.43E+10,1.37E+10,1.36E+10,1.81E+09,1.81E+09,1.51E+09,33.74,33.67,33.67,30.75,30.75,30.49,3.04610,0.00090,0.07598,3.02793,2.81895,2.81895,1,0,1,31,,,
50Vs5,UPS1,sp|P02768,0%,7%,17%,26%,48%,0,0,0,0,0,0,4,8,13,23,69366.9, Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,3.11E+10,3.02E+10,2.77E+10,3.09E+09,2.51E+09,2.52E+09,34.85,34.81,34.69,31.53,31.23,31.23,2.98911,0.00103,0.08138,3.45647,3.24061,3.24061,1,0,1,33,,,
50Vs5,UPS1,sp|P62937,0%,0%,10%,20%,16%,0,0,0,0,0,0,0,2,3,3,18012.9, Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,7.20E+09,6.84E+09,6.69E+09,8.00E+08,6.73E+08,8.55E+08,32.75,32.67,32.64,29.58,29.33,29.67,2.94007,0.00115,0.08351,3.16113,2.95001,2.95001,1,0,1,36,,,
50Vs5,UPS1,sp|P00167,0%,0%,13%,25%,43%,0,0,0,0,0,0,0,1,2,4,15330.3, Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2,1.35E+10,1.26E+10,1.54E+10,1.95E+09,2.13E+09,2.27E+09,33.65,33.56,33.84,30.86,30.99,31.08,2.81902,0.00152,0.09690,2.70577,2.50197,2.50197,1,0,1,41,,,
50Vs5,UPS1,sp|P02787,0%,2%,15%,19%,30%,0,0,0,0,0,0,1,7,10,17,77064.3, Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3,2.06E+10,2.12E+10,2.03E+10,3.48E+09,3.79E+09,2.98E+09,34.26,34.30,34.24,31.69,31.82,31.47,2.80092,0.00158,0.09862,2.60520,2.40302,2.40302,1,0,1,42,,,
50Vs5,UPS1,sp|P10636,0%,6%,8%,13%,18%,0,0,0,0,0,0,3,4,6,9,78927.7, Microtubule-associated protein tau OS=Homo sapiens GN=MAPT PE=1 SV=5,1.51E+10,1.50E+10,1.43E+10,2.59E+09,2.04E+09,2.54E+09,33.81,33.80,33.73,31.27,30.92,31.24,2.72791,0.00187,0.10001,2.63693,2.43424,2.43424,1,0,1,49,,,
50Vs5,UPS1,sp|P63279,0%,0%,0%,25%,44%,0,0,0,0,0,0,0,0,2,4,18007.5, SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,1.70E+09,1.84E+09,1.60E+09,7.17E+07,1.07E+08,9.87E+07,30.66,30.77,30.57,26.10,26.67,26.56,2.72170,0.00190,0.09747,4.22870,4.00043,4.00043,1,0,1,51,,,
50Vs5,UPS1,sp|Q06830,0%,0%,8%,10%,11%,0,0,0,0,0,0,0,2,2,2,22110.9, Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,9.48E+09,1.10E+10,9.26E+09,1.59E+09,1.27E+09,1.50E+09,33.14,33.36,33.11,30.57,30.24,30.48,2.69167,0.00203,0.09864,2.77120,2.56635,2.56635,1,0,1,54,,,
50Vs5,UPS1,sp|P00709,0%,0%,12%,16%,17%,0,0,0,0,0,0,0,1,2,2,16225.9, Alpha-lactalbumin OS=Homo sapiens GN=LALBA PE=1 SV=1,4.06E+09,4.09E+09,3.88E+09,2.28E+08,3.29E+08,3.24E+08,31.92,31.93,31.85,27.77,28.29,28.27,2.67676,0.00210,0.09844,3.79080,3.56957,3.56957,1,0,1,56,,,
50Vs5,UPS1,sp|P01112,0%,0%,6%,7%,31%,0,0,0,0,0,0,0,1,1,4,21298.1, GTPase HRas OS=Homo sapiens GN=HRAS PE=1 SV=1,4.68E+09,4.72E+09,4.26E+09,9.37E+08,1.03E+09,1.16E+09,32.12,32.14,31.99,29.80,29.94,30.12,2.63317,0.00233,0.10330,2.13093,1.93637,1.93637,1,0,1,59,,,
50Vs5,UPS1,sp|P68871,0%,0%,22%,25%,52%,0,0,0,0,0,0,0,2,2,6,15998.0, Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2,7.46E+09,6.99E+09,6.67E+09,8.08E+08,8.53E+08,1.10E+09,32.80,32.70,32.64,29.59,29.67,30.03,2.62916,0.00235,0.10252,2.94853,2.74083,2.74083,1,0,1,60,,,
50Vs5,UPS1,sp|P10599,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11737.3, Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,2.53E+09,2.43E+09,2.33E+09,1.85E+08,2.68E+08,1.85E+08,31.24,31.18,31.12,27.46,28.00,27.46,2.57692,0.00265,0.10512,3.53770,3.32053,3.32053,1,0,1,66,,,
50Vs5,UPS1,sp|P51965,0%,0%,0%,0%,15%,0,0,0,0,0,0,0,0,0,2,21405.0, Ubiquitin-conjugating enzyme E2 E1 OS=Homo sapiens GN=UBE2E1 PE=1 SV=1,2.56E+09,2.43E+09,2.31E+09,2.27E+08,3.36E+08,2.70E+08,31.26,31.18,31.10,27.76,28.32,28.01,2.54030,0.00288,0.11100,3.14920,2.93828,2.93828,1,0,1,68,,,
50Vs5,UPS1,sp|P69905,0%,0%,0%,0%,11%,0,0,0,0,0,0,0,0,0,1,15257.6, Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2,1.05E+09,9.67E+08,9.91E+08,1.78E+07,3.51E+07,2.54E+07,29.96,29.85,29.88,24.08,25.07,24.60,2.53994,0.00288,0.10948,5.31797,5.07220,5.07220,1,0,1,69,,,
50Vs5,UPS1,sp|P08758,0%,0%,13%,18%,44%,0,0,0,0,0,0,0,3,5,9,35938.6, Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2,1.30E+10,1.37E+10,1.35E+10,4.67E+09,3.86E+09,3.89E+09,33.60,33.67,33.65,32.12,31.85,31.86,2.53944,0.00289,0.10804,1.69947,1.51184,1.51184,1,0,1,70,,,
50Vs5,UPS1,sp|P41159,0%,13%,21%,25%,41%,0,0,0,0,0,0,2,3,3,5,18641.0, Leptin OS=Homo sapiens GN=LEP PE=1 SV=1,9.82E+09,9.23E+09,9.56E+09,8.06E+08,4.86E+08,6.71E+08,33.19,33.10,33.16,29.59,28.86,29.32,2.51635,0.00305,0.11078,3.89613,3.67321,3.67321,1,0,1,72,,,
50Vs5,UPS1,sp|P99999,0%,0%,13%,14%,36%,0,0,0,0,0,0,0,1,2,4,11749.4, Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2,1.45E+09,1.85E+09,1.72E+09,1.92E+08,2.51E+08,2.51E+08,30.43,30.79,30.68,27.51,27.90,27.90,2.47012,0.00339,0.11829,2.85883,2.65257,2.65257,1,0,1,75,,,
50Vs5,UPS1,sp|P02753,0%,0%,5%,11%,14%,0,0,0,0,0,0,0,1,2,2,23010.3, Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3,1.32E+09,1.35E+09,1.27E+09,1.50E+08,1.11E+08,1.74E+08,30.30,30.33,30.24,27.16,26.73,27.38,2.43838,0.00364,0.12082,3.19967,2.98794,2.98794,1,0,1,79,,,
50Vs5,UPS1,sp|P61626,0%,0%,27%,27%,27%,0,0,0,0,0,0,0,2,2,2,16536.9, Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1,4.15E+09,3.78E+09,3.95E+09,3.01E+08,3.89E+08,2.13E+08,31.95,31.82,31.88,28.16,28.54,27.67,2.34127,0.00456,0.13117,3.76070,3.53995,3.53995,1,0,1,91,,,
50Vs5,UPS1,sp|P05413,0%,7%,14%,28%,45%,0,0,0,0,0,0,1,2,3,5,14858.5," Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4",4.78E+09,4.87E+09,4.33E+09,4.10E+08,5.55E+08,3.20E+08,32.16,32.18,32.01,28.61,29.05,28.25,2.33861,0.00459,0.13054,3.47833,3.26212,3.26212,1,0,1,92,,,
50Vs5,UPS1,sp|P00915,0%,0%,9%,18%,35%,0,0,0,0,0,0,0,2,4,6,28870.4, Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2,1.21E+10,1.20E+10,8.06E+09,9.07E+08,1.16E+09,1.17E+09,33.50,33.48,32.91,29.76,30.11,30.12,2.32048,0.00478,0.12909,3.29943,3.08609,3.08609,1,0,1,97,,,
50Vs5,UPS1,sp|P01031,0%,0%,0%,0%,1%,0,0,0,0,0,0,0,0,1,2,188309.2, Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4,3.90E+09,3.85E+09,3.45E+09,1.15E+09,1.17E+09,9.18E+08,31.86,31.84,31.68,30.10,30.12,29.77,2.31419,0.00485,0.12963,1.79760,1.60839,1.60839,1,0,1,98,,,
50Vs5,UPS1,sp|P10145,0%,0%,16%,16%,16%,0,0,0,0,0,0,0,1,1,1,11098.4, Interleukin-8 OS=Homo sapiens GN=IL8 PE=1 SV=1,3.67E+09,3.95E+09,3.72E+09,1.49E+08,5.85E+07,1.02E+08,31.77,31.88,31.79,27.15,25.80,26.60,2.26236,0.00547,0.13504,5.29533,5.04993,5.04993,1,0,1,106,,,
50Vs5,UPS1,sp|P09211,0%,0%,0%,10%,31%,0,0,0,0,0,0,0,0,1,4,23356.7, Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,3.66E+09,3.62E+09,3.62E+09,1.39E+09,1.04E+09,1.16E+09,31.77,31.75,31.75,30.38,29.95,30.11,2.23901,0.00577,0.13858,1.61207,1.42584,1.42584,1,0,1,109,,,
50Vs5,UPS1,sp|P02144,0%,0%,10%,26%,52%,0,0,0,0,0,0,0,1,3,5,17184.4, Myoglobin OS=Homo sapiens GN=MB PE=1 SV=2,8.50E+09,8.53E+09,6.73E+09,3.18E+08,7.32E+08,6.52E+08,32.99,32.99,32.65,28.24,29.45,29.28,1.99610,0.01009,0.16940,3.88317,3.66045,3.66045,1,0,1,156,,,
50Vs5,UPS1,sp|P63165,0%,0%,12%,12%,12%,0,0,0,0,0,0,0,1,1,1,11557.0, Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1,9.69E+08,9.84E+08,1.02E+09,5.64E+07,4.99E+07,1.21E+08,29.85,29.87,29.93,25.75,25.57,26.85,1.97163,0.01068,0.17365,3.83080,3.60893,3.60893,1,0,1,161,,,
50Vs5,UPS1,sp|P08263,0%,0%,14%,15%,20%,0,0,0,0,0,0,0,1,2,3,25633.1, Glutathione S-transferase A1 OS=Homo sapiens GN=GSTA1 PE=1 SV=3,2.24E+09,2.67E+09,3.38E+09,7.70E+08,9.11E+08,8.52E+08,31.06,31.31,31.66,29.52,29.76,29.67,1.92998,0.01175,0.17891,1.69537,1.50780,1.50780,1,0,1,172,,,
50Vs5,UPS1,sp|P04040,0%,4%,12%,26%,42%,0,0,0,0,0,0,2,6,11,17,59756.5, Catalase OS=Homo sapiens GN=CAT PE=1 SV=3,2.75E+10,2.75E+10,2.75E+10,5.11E+09,7.54E+09,8.51E+09,34.68,34.68,34.68,32.25,32.81,32.99,1.91470,0.01217,0.17907,1.99630,1.80390,1.80390,1,0,1,178,,,
50Vs5,UPS1,sp|P01127,0%,0%,7%,7%,12%,0,0,0,0,0,0,0,1,1,2,27283.4, Platelet-derived growth factor subunit B OS=Homo sapiens GN=PDGFB PE=1 SV=1,1.88E+09,1.44E+09,1.33E+09,2.23E+08,1.30E+08,3.03E+08,30.80,30.42,30.31,27.73,26.95,28.17,1.75759,0.01747,0.20161,2.89377,2.68695,2.68695,1,0,1,227,,,
50Vs5,UPS1,sp|Q15843,0%,0%,0%,17%,17%,0,0,0,0,0,0,0,0,1,1,9072.0, NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1,3.42E+09,3.40E+09,3.05E+09,3.68E+07,1.74E+08,2.20E+07,31.67,31.66,31.51,25.13,27.37,24.39,1.66176,0.02179,0.22735,5.97993,5.72353,5.72353,1,0,1,251,,,
50Vs5,UPS1,sp|P01008,0%,0%,12%,19%,35%,0,0,0,0,0,0,0,4,6,11,52604.1, Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,1.28E+10,1.54E+10,1.21E+10,3.10E+09,2.66E+09,9.13E+08,33.58,33.84,33.49,31.53,31.31,29.77,1.40624,0.03924,0.25759,2.76823,2.56343,2.56343,1,0,1,399,,,
50Vs0.5,UPS1,sp|O76070,0%,13%,57%,74%,72%,0,0,0,0,0,0,1,4,7,8,13329.6, Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2,1.42E+10,1.39E+10,1.35E+10,6.76E+08,6.11E+08,6.86E+08,33.73,33.70,33.65,29.33,29.19,29.35,3.77652,0.00017,0.10954,4.40057,3.93376,3.93376,1,0,1,4,,,
50Vs0.5,UPS1,sp|P01375,0%,0%,16%,23%,41%,0,0,0,0,0,0,0,2,3,5,25645.0, Tumor necrosis factor OS=Homo sapiens GN=TNF PE=1 SV=1,1.44E+10,1.44E+10,1.43E+10,4.03E+08,3.90E+08,3.38E+08,33.75,33.75,33.73,28.59,28.54,28.33,3.66443,0.00022,0.11343,5.25647,4.71781,4.71781,1,0,1,5,,,
50Vs0.5,UPS1,sp|P00709,0%,0%,12%,16%,17%,0,0,0,0,0,0,0,1,2,2,16225.9, Alpha-lactalbumin OS=Homo sapiens GN=LALBA PE=1 SV=1,4.06E+09,4.09E+09,3.88E+09,7.93E+07,8.69E+07,7.18E+07,31.92,31.93,31.85,26.24,26.37,26.10,3.66331,0.00022,0.09477,5.66343,5.09061,5.09061,1,0,1,6,,,
50Vs0.5,UPS1,sp|P02768,0%,7%,17%,26%,48%,0,0,0,0,0,0,4,8,13,23,69366.9, Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2,3.11E+10,3.02E+10,2.77E+10,1.67E+09,1.57E+09,1.40E+09,34.85,34.81,34.69,30.64,30.55,30.39,3.36256,0.00043,0.07103,4.26270,3.80747,3.80747,1,0,1,16,,,
50Vs0.5,UPS1,sp|P16083,0%,8%,17%,24%,42%,0,0,0,0,0,0,1,2,4,6,25918.8, Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens GN=NQO2 PE=1 SV=5,1.61E+10,1.55E+10,1.56E+10,9.79E+08,8.25E+08,8.08E+08,33.90,33.85,33.87,29.87,29.62,29.59,3.34655,0.00045,0.06551,4.18070,3.73235,3.73235,1,0,1,18,,,
50Vs0.5,UPS1,sp|P61769,0%,0%,19%,19%,30%,0,0,0,0,0,0,0,1,1,2,13714.9, Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,3.73E+09,3.57E+09,3.71E+09,2.13E+08,1.76E+08,2.22E+08,31.80,31.73,31.79,27.67,27.39,27.72,3.20202,0.00063,0.07476,4.18007,3.73177,3.73177,1,0,1,22,,,
50Vs0.5,UPS1,sp|P02741,0%,0%,0%,4%,7%,0,0,0,0,0,0,0,0,1,1,25039.0, C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1,2.61E+09,2.54E+09,2.58E+09,5.08E+08,5.82E+08,5.08E+08,31.28,31.24,31.26,28.92,29.12,28.92,3.07290,0.00085,0.07636,2.27633,1.98784,1.98784,1,0,1,29,,,
50Vs0.5,UPS1,sp|P01579,0%,8%,19%,17%,21%,0,0,0,0,0,0,1,3,2,3,19349.2, Interferon gamma OS=Homo sapiens GN=IFNG PE=1 SV=1,5.51E+09,5.34E+09,5.32E+09,7.41E+08,6.73E+08,5.93E+08,32.36,32.31,32.31,29.46,29.33,29.14,3.01217,0.00097,0.07958,3.01580,2.66524,2.66524,1,0,1,32,,,
50Vs0.5,UPS1,sp|P41159,0%,13%,21%,25%,41%,0,0,0,0,0,0,2,3,3,5,18641.0, Leptin OS=Homo sapiens GN=LEP PE=1 SV=1,9.82E+09,9.23E+09,9.56E+09,3.07E+08,3.96E+08,2.60E+08,33.19,33.10,33.16,28.19,28.56,27.95,2.88224,0.00131,0.09039,4.91570,4.40565,4.40565,1,0,1,38,,,
50Vs0.5,UPS1,sp|P15559,0%,3%,7%,10%,13%,0,0,0,0,0,0,1,2,2,3,30869.0, NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens GN=NQO1 PE=1 SV=1,8.15E+09,7.49E+09,7.73E+09,2.58E+08,3.29E+08,3.86E+08,32.92,32.80,32.85,27.94,28.30,28.52,2.85319,0.00140,0.09416,4.60330,4.11947,4.11947,1,0,1,39,,,
50Vs0.5,UPS1,sp|P00167,0%,0%,13%,25%,43%,0,0,0,0,0,0,0,1,2,4,15330.3, Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2,1.35E+10,1.26E+10,1.54E+10,1.80E+09,2.01E+09,1.68E+09,33.65,33.56,33.84,30.74,30.90,30.65,2.83687,0.00146,0.09532,2.91593,2.57375,2.57375,1,0,1,40,,,
50Vs0.5,UPS1,sp|P01008,0%,0%,12%,19%,35%,0,0,0,0,0,0,0,4,6,11,52604.1, Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1,1.28E+10,1.54E+10,1.21E+10,8.96E+08,9.10E+08,1.14E+09,33.58,33.84,33.49,29.74,29.76,30.09,2.77486,0.00168,0.10228,3.77427,3.36004,3.36004,1,0,1,43,,,
50Vs0.5,UPS1,sp|P01031,0%,0%,0%,0%,1%,0,0,0,0,0,0,0,0,1,2,188309.2, Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4,3.90E+09,3.85E+09,3.45E+09,9.64E+08,1.10E+09,1.03E+09,31.86,31.84,31.68,29.84,30.04,29.94,2.73515,0.00184,0.10040,1.85473,1.60163,1.60163,1,0,1,48,,,
50Vs0.5,UPS1,sp|P01344,0%,12%,14%,14%,14%,0,0,0,0,0,0,2,2,2,2,20140.8, Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1,5.05E+09,4.79E+09,4.90E+09,4.11E+07,6.65E+07,7.76E+07,32.23,32.16,32.19,25.29,25.99,26.21,2.72352,0.00189,0.09900,6.36510,5.73338,5.73338,1,0,1,50,,,
50Vs0.5,UPS1,sp|P01127,0%,0%,7%,7%,12%,0,0,0,0,0,0,0,1,1,2,27283.4, Platelet-derived growth factor subunit B OS=Homo sapiens GN=PDGFB PE=1 SV=1,1.88E+09,1.44E+09,1.33E+09,1.12E+08,1.08E+08,1.27E+08,30.80,30.42,30.31,26.74,26.69,26.92,2.71146,0.00194,0.09603,3.73083,3.32024,3.32024,1,0,1,53,,,
50Vs0.5,UPS1,sp|P02787,0%,2%,15%,19%,30%,0,0,0,0,0,0,1,7,10,17,77064.3, Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3,2.06E+10,2.12E+10,2.03E+10,3.12E+09,2.81E+09,2.28E+09,34.26,34.30,34.24,31.54,31.39,31.09,2.68690,0.00206,0.09792,2.93013,2.58676,2.58676,1,0,1,55,,,
50Vs0.5,UPS1,sp|P61626,0%,0%,27%,27%,27%,0,0,0,0,0,0,0,2,2,2,16536.9, Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1,4.15E+09,3.78E+09,3.95E+09,1.24E+08,1.24E+08,7.45E+07,31.95,31.82,31.88,26.89,26.89,26.15,2.64671,0.00226,0.10365,5.23943,4.70220,4.70220,1,0,1,57,,,
